drug,event,is_anomaly,anomaly_score,count,prr,death_rate
Osimertinib,Gastrooesophageal reflux disease,No,0.4237,4,2.258,25.0%
Osimertinib,Nightmare,No,0.4487,2,17.493,0.0%
Osimertinib,Emotional disorder,No,0.3639,1,3.884,0.0%
Osimertinib,Feeling hot,No,0.3638,1,1.165,0.0%
Osimertinib,Accidental overdose,No,0.3639,1,3.884,0.0%
Osimertinib,Infection,No,0.4278,2,0.321,50.0%
Osimertinib,Clostridium difficile colitis,No,0.3632,1,1.456,0.0%
Osimertinib,Dyspepsia,No,0.3686,1,0.323,0.0%
Osimertinib,Musculoskeletal discomfort,No,0.3638,1,2.497,0.0%
Osimertinib,Hypokinesia,No,0.3639,1,3.884,0.0%
Osimertinib,Retching,No,0.3655,1,0.971,0.0%
Osimertinib,Heart rate irregular,No,0.3622,1,2.056,0.0%
Osimertinib,Radiation pneumonitis,No,0.4184,1,2.913,100.0%
Osimertinib,Aplastic anaemia,No,0.4317,1,4.994,100.0%
Osimertinib,Neutrophil count decreased,No,0.4540,4,0.862,25.0%
Osimertinib,Platelet count decreased,Yes,0.5346,13,1.095,30.8%
Osimertinib,Joint swelling,No,0.4782,2,1.226,0.0%
Osimertinib,Nodule,No,0.4493,1,3.884,0.0%
Osimertinib,Chills,No,0.3887,2,0.485,0.0%
Osimertinib,Pneumonia staphylococcal,No,0.4600,1,8.741,100.0%
Osimertinib,Cataract,No,0.3710,1,1.248,0.0%
Osimertinib,Electrolyte imbalance,No,0.3632,1,1.456,0.0%
Osimertinib,Non-small cell lung cancer,No,0.3733,1,0.896,0.0%
Osimertinib,Therapy cessation,No,0.4341,3,3.280,0.0%
Osimertinib,Myelodysplastic syndrome,No,0.3679,1,0.521,0.0%
Osimertinib,Gait disturbance,No,0.4260,4,1.345,50.0%
Osimertinib,Foot deformity,No,0.3806,1,6.992,0.0%
Osimertinib,Colitis,No,0.4288,2,0.334,50.0%
Osimertinib,Stomatitis,Yes,0.5057,9,1.761,22.2%
Osimertinib,Viral infection,No,0.4137,1,1.840,100.0%
Osimertinib,Glossodynia,No,0.4190,1,2.689,100.0%
Osimertinib,Large intestinal haemorrhage,Yes,0.4987,1,17.482,100.0%
Osimertinib,Arrhythmia,No,0.4569,2,2.412,100.0%
Osimertinib,Palpitations,No,0.4860,2,1.319,50.0%
Osimertinib,Myalgia,No,0.4725,3,0.812,0.0%
Osimertinib,Blood alkaline phosphatase increased,No,0.3728,1,0.554,0.0%
Osimertinib,Metastases to lung,No,0.3737,1,0.852,0.0%
Osimertinib,Spinal pain,No,0.3778,1,4.994,0.0%
Osimertinib,Metastases to spine,No,0.3667,1,3.178,0.0%
Osimertinib,Delirium,No,0.3821,2,1.998,0.0%
Osimertinib,Aspiration,No,0.4340,1,4.370,100.0%
Osimertinib,Lung infiltration,No,0.3638,1,1.664,0.0%
Osimertinib,Balance disorder,No,0.4348,1,0.699,100.0%
Osimertinib,Counterfeit drug administered,No,0.4867,1,0.000,100.0%
Osimertinib,Rubella,No,0.4867,1,0.000,100.0%
Osimertinib,Skin infection,No,0.3659,1,2.689,0.0%
Osimertinib,Cerebral ischaemia,No,0.4669,1,11.655,100.0%
Osimertinib,Heart rate increased,No,0.4556,4,1.866,25.0%
Osimertinib,Bone pain,No,0.3762,1,0.411,0.0%
Osimertinib,Herpes zoster,No,0.4498,3,2.332,33.3%
Osimertinib,Upper gastrointestinal haemorrhage,No,0.4137,1,1.840,100.0%
Osimertinib,Tumour lysis syndrome,No,0.4214,1,0.563,100.0%
Osimertinib,Tracheobronchitis,No,0.4918,1,34.965,0.0%
Osimertinib,Diabetic ketoacidosis,No,0.3640,1,2.330,0.0%
Osimertinib,Skin lesion,No,0.3634,1,1.398,0.0%
Osimertinib,Oxygen saturation decreased,No,0.3638,1,1.165,0.0%
Osimertinib,Cardiomyopathy,No,0.3815,2,2.057,0.0%
Osimertinib,Dyspnoea at rest,No,0.3993,1,11.655,0.0%
Osimertinib,Ejection fraction decreased,No,0.4501,1,0.743,0.0%
Osimertinib,Xeroderma,No,0.4918,1,34.965,0.0%
Osimertinib,Acute coronary syndrome,No,0.3660,1,2.913,0.0%
Osimertinib,Peripheral swelling,No,0.4790,3,0.838,0.0%
Osimertinib,Extremity necrosis,No,0.3992,1,0.000,0.0%
Osimertinib,Yellow skin,No,0.3806,1,6.992,0.0%
Osimertinib,Contusion,No,0.4404,2,0.907,0.0%
Osimertinib,Musculoskeletal chest pain,No,0.4749,3,6.176,66.7%
Osimertinib,Gingival pain,No,0.3806,1,6.992,0.0%
Osimertinib,Ingrowing nail,No,0.4268,1,17.482,0.0%
Osimertinib,Gastrointestinal pain,No,0.3806,1,6.992,0.0%
Osimertinib,Gastrointestinal perforation,No,0.4320,1,1.294,100.0%
Osimertinib,Neuralgia,No,0.3687,1,2.330,0.0%
Osimertinib,Skin disorder,No,0.4474,3,1.980,33.3%
Osimertinib,Lip dry,No,0.3806,1,6.992,0.0%
Osimertinib,Lip swelling,No,0.3686,1,2.056,0.0%
Osimertinib,Chapped lips,No,0.4020,1,11.655,0.0%
Osimertinib,Urticaria,No,0.4312,3,1.457,0.0%
Osimertinib,Early satiety,No,0.3905,1,8.741,0.0%
Osimertinib,Klebsiella test positive,Yes,0.5014,1,17.482,100.0%
Osimertinib,Acute hepatic failure,No,0.4419,1,5.827,100.0%
Osimertinib,Rash pustular,No,0.3690,1,1.942,0.0%
Osimertinib,Skin cancer,No,0.3678,1,3.884,0.0%
Osimertinib,Lymphadenopathy,No,0.4312,3,1.437,0.0%
Osimertinib,Breast mass,No,0.4020,1,11.655,0.0%
Osimertinib,Blood chloride decreased,No,0.4725,1,6.992,0.0%
Osimertinib,Blood sodium decreased,No,0.4443,1,1.664,0.0%
Osimertinib,Adverse drug reaction,No,0.4521,1,0.613,0.0%
Osimertinib,Intentional product misuse,Yes,0.5259,5,7.618,40.0%
Osimertinib,Prostatic disorder,Yes,0.5280,1,17.482,0.0%
Osimertinib,Cardiac arrest,No,0.4338,1,0.546,100.0%
Osimertinib,Breath odour,No,0.3781,1,6.992,0.0%
Osimertinib,Aspartate aminotransferase abnormal,No,0.4918,1,34.965,0.0%
Osimertinib,Hypophagia,No,0.4269,3,1.874,33.3%
Osimertinib,Haematocrit decreased,No,0.3681,1,0.659,0.0%
Osimertinib,Platelet count abnormal,No,0.3636,1,3.496,0.0%
Osimertinib,Mean cell haemoglobin concentration increased,No,0.3992,1,0.000,0.0%
Osimertinib,Mean cell volume increased,No,0.3781,1,6.992,0.0%
Osimertinib,Salivary hypersecretion,No,0.3993,1,11.655,0.0%
Osimertinib,Cardiac failure congestive,No,0.3872,2,0.884,0.0%
Osimertinib,Thoracic cavity lavage,No,0.4793,1,0.000,100.0%
Osimertinib,Infectious pleural effusion,No,0.4856,2,13.994,50.0%
Osimertinib,Blood thyroid stimulating hormone increased,No,0.4416,1,6.992,100.0%
Osimertinib,Thoracic cavity drainage,No,0.4793,1,0.000,100.0%
Osimertinib,White blood cell count decreased,No,0.3993,2,0.202,0.0%
Osimertinib,Liver function test increased,No,0.4830,2,3.331,0.0%
Osimertinib,Hypokalaemia,No,0.3905,2,0.713,0.0%
Osimertinib,Haematemesis,No,0.4198,1,1.028,100.0%
Osimertinib,Gastrointestinal haemorrhage,No,0.4214,1,0.563,100.0%
Osimertinib,Periorbital cellulitis,No,0.4918,1,34.965,0.0%
Osimertinib,Blood glucose increased,No,0.4331,2,1.488,0.0%
Osimertinib,Lymphocyte count decreased,No,0.3684,1,1.456,0.0%
Osimertinib,Creatinine renal clearance decreased,No,0.3667,1,3.178,0.0%
Osimertinib,Breath sounds abnormal,No,0.3797,1,5.827,0.0%
Osimertinib,No adverse event,No,0.4812,2,2.690,0.0%
Osimertinib,Hair disorder,Yes,0.5673,2,34.987,0.0%
Osimertinib,Eye irritation,No,0.4296,1,2.330,100.0%
Osimertinib,Ventricular arrhythmia,No,0.4397,1,4.994,100.0%
Osimertinib,Unevaluable event,No,0.4549,1,0.459,0.0%
Osimertinib,Sinusitis,No,0.4504,1,0.635,0.0%
Osimertinib,Hair growth abnormal,No,0.4493,1,3.884,0.0%
Osimertinib,Nail growth abnormal,Yes,0.5812,1,34.965,0.0%
Osimertinib,Dry mouth,No,0.4789,2,1.028,0.0%
Osimertinib,Feeling cold,No,0.4433,1,2.330,0.0%
Osimertinib,Hypersomnia,No,0.4430,1,2.185,0.0%
Osimertinib,Visual impairment,No,0.4880,2,0.720,50.0%
Osimertinib,Anaphylactic reaction,No,0.3650,1,1.059,0.0%
Osimertinib,Chromaturia,No,0.4289,1,2.056,100.0%
Osimertinib,Acute myocardial infarction,No,0.3826,2,3.498,0.0%
Osimertinib,Abdominal pain,No,0.3873,1,0.101,0.0%
Osimertinib,Decubitus ulcer,No,0.3797,1,5.827,0.0%
Osimertinib,Hepatic function abnormal,No,0.4781,6,3.504,66.7%
Osimertinib,Metastases to meninges,No,0.4175,1,2.185,100.0%
Osimertinib,Stress cardiomyopathy,No,0.4209,1,3.178,100.0%
Osimertinib,Ascites,No,0.4834,2,0.743,0.0%
Osimertinib,Flank pain,No,0.4320,1,3.884,100.0%
Osimertinib,Respiratory tract congestion,No,0.4397,1,4.994,100.0%
Osimertinib,Autoimmune retinopathy,No,0.4082,1,0.000,0.0%
Osimertinib,Malignant melanoma,No,0.3683,1,1.664,0.0%
Osimertinib,Cardiac fibrillation,No,0.4020,1,11.655,0.0%
Osimertinib,Bone marrow failure,No,0.3780,1,0.326,0.0%
Osimertinib,Red blood cell count decreased,No,0.4210,2,0.541,50.0%
Osimertinib,Tongue dry,Yes,0.5812,1,34.965,0.0%
Osimertinib,Hypertension,No,0.4414,1,0.194,100.0%
Osimertinib,Gastritis,No,0.3798,2,1.793,0.0%
Osimertinib,Rhinitis allergic,No,0.3905,1,8.741,0.0%
Osimertinib,Adjustment disorder,Yes,0.5052,1,0.000,0.0%
Osimertinib,Hydrocephalus,No,0.4190,1,2.689,100.0%
Osimertinib,Dyspnoea exertional,No,0.4197,1,0.852,100.0%
Osimertinib,Allergic eosinophilia,No,0.4793,1,0.000,100.0%
Osimertinib,Alveolitis allergic,No,0.4200,1,3.496,100.0%
Osimertinib,Altered state of consciousness,No,0.4797,2,6.360,100.0%
Osimertinib,Pneumocystis jirovecii pneumonia,No,0.4122,2,1.890,50.0%
Osimertinib,Choking,No,0.4289,1,17.482,0.0%
Osimertinib,Eosinophilic pneumonia,No,0.4918,1,34.965,0.0%
Osimertinib,Pulmonary alveolar haemorrhage,No,0.3632,1,2.185,0.0%
Osimertinib,Sleep disorder,No,0.4453,1,1.398,0.0%
Osimertinib,Metastasis,No,0.4385,3,4.565,33.3%
Osimertinib,Metastases to liver,No,0.4218,2,0.852,50.0%
Osimertinib,Eating disorder,No,0.4433,1,2.330,0.0%
Osimertinib,Brain neoplasm,No,0.4206,2,3.682,50.0%
Osimertinib,Wheezing,No,0.4137,1,1.840,100.0%
Osimertinib,Nail infection,Yes,0.6611,2,69.975,100.0%
Osimertinib,Dacryostenosis acquired,No,0.4793,1,0.000,100.0%
Osimertinib,Weight fluctuation,No,0.3699,1,4.370,0.0%
Osimertinib,Klebsiella infection,No,0.3778,1,4.994,0.0%
Osimertinib,Swollen tongue,No,0.3659,1,2.689,0.0%
Osimertinib,Fluid retention,No,0.3746,1,0.794,0.0%
Osimertinib,Skin atrophy,Yes,0.5535,2,34.987,50.0%
Osimertinib,Ocular hyperaemia,No,0.3710,1,1.248,0.0%
Osimertinib,Muscle twitching,No,0.3707,1,2.497,0.0%
Osimertinib,Lymph node pain,No,0.3806,1,6.992,0.0%
Osimertinib,Photosensitivity reaction,No,0.3742,1,0.635,0.0%
Osimertinib,Gastrointestinal disorder,No,0.3736,1,0.521,0.0%
Osimertinib,Genital haemorrhage,No,0.4082,1,0.000,0.0%
Osimertinib,Cystitis,No,0.3733,1,0.971,0.0%
Osimertinib,Alopecia,No,0.3797,1,0.197,0.0%
Osimertinib,Aphasia,No,0.3862,2,3.041,0.0%
Osimertinib,Oral herpes,No,0.3659,1,2.689,0.0%
Osimertinib,Basal cell carcinoma,No,0.3705,1,1.092,0.0%
Osimertinib,Migraine,No,0.3710,1,1.205,0.0%
Osimertinib,Dyspareunia,No,0.4082,1,0.000,0.0%
Osimertinib,Pain of skin,No,0.3687,1,2.330,0.0%
Osimertinib,Ear pain,No,0.3806,1,6.992,0.0%
Osimertinib,Genital injury,No,0.4082,1,0.000,0.0%
Osimertinib,Sinus pain,No,0.4849,1,34.965,0.0%
Osimertinib,Cyst,No,0.4849,1,34.965,0.0%
Osimertinib,Ventricular extrasystoles,No,0.4461,1,3.496,0.0%
Osimertinib,Depressive symptom,No,0.3992,1,0.000,0.0%
Osimertinib,Lip disorder,Yes,0.5627,1,34.965,100.0%
Osimertinib,Cheilitis,No,0.4419,1,5.827,100.0%
Osimertinib,Lacunar infarction,No,0.3993,1,11.655,0.0%
Osimertinib,Hypotrichosis,Yes,0.5812,1,34.965,0.0%
Osimertinib,Vocal cord paralysis,Yes,0.5057,2,9.995,100.0%
Osimertinib,Jugular vein thrombosis,No,0.4479,1,6.992,100.0%
Osimertinib,Lymphangiosis carcinomatosa,No,0.4706,3,11.668,33.3%
Osimertinib,Burning sensation,No,0.4229,1,0.728,100.0%
Osimertinib,Tumour marker increased,No,0.4210,1,0.794,100.0%
Osimertinib,Neoplasm,No,0.4203,1,0.832,100.0%
Osimertinib,Tumour compression,Yes,0.4987,1,17.482,100.0%
Osimertinib,Cellulitis,No,0.4220,1,0.624,100.0%
Osimertinib,Platelet disorder,No,0.4221,1,3.884,100.0%
Osimertinib,Wound,No,0.4155,1,1.456,100.0%
Osimertinib,Swelling,No,0.4562,2,1.520,100.0%
Osimertinib,Positron emission tomogram abnormal,Yes,0.4987,1,17.482,100.0%
Osimertinib,Anxiety,No,0.4549,1,0.342,0.0%
Osimertinib,Paraesthesia,No,0.4534,1,0.442,0.0%
Osimertinib,Hepatitis C,No,0.3905,1,8.741,0.0%
Osimertinib,Delusion,Yes,0.5014,1,17.482,100.0%
Osimertinib,Pneumonia fungal,No,0.3616,1,2.689,0.0%
Osimertinib,Erythema multiforme,No,0.3667,1,3.178,0.0%
Osimertinib,Small cell lung cancer,Yes,0.5154,2,11.661,100.0%
Osimertinib,Prerenal failure,No,0.4397,1,4.994,100.0%
Osimertinib,Pulmonary congestion,No,0.4419,1,5.827,100.0%
Osimertinib,Cardiac valve disease,Yes,0.5014,1,17.482,100.0%
Osimertinib,Hemiparesis,No,0.4279,1,1.840,100.0%
Osimertinib,Blood pressure decreased,No,0.4350,1,0.852,100.0%
Osimertinib,Multiple organ dysfunction syndrome,No,0.4643,2,4.372,100.0%
Osimertinib,Cerebral infarction,No,0.4249,2,3.179,50.0%
Osimertinib,Facial paralysis,No,0.4600,1,8.741,100.0%
Osimertinib,Hepatitis cholestatic,No,0.4289,1,17.482,0.0%
Osimertinib,Rash macular,No,0.4299,1,1.942,100.0%
Osimertinib,Pleurisy,No,0.3729,1,4.994,0.0%
Osimertinib,Lung neoplasm,Yes,0.5017,1,11.655,0.0%
Osimertinib,Escherichia sepsis,No,0.3993,1,11.655,0.0%
Osimertinib,Urosepsis,No,0.3632,1,2.185,0.0%
Osimertinib,Haemorrhoidal haemorrhage,Yes,0.5280,1,17.482,0.0%
Osimertinib,Onychalgia,No,0.4600,1,8.741,100.0%
Osimertinib,Haematuria,No,0.3679,1,0.521,0.0%
Osimertinib,Foot fracture,No,0.3993,1,11.655,0.0%
Osimertinib,Faeces hard,No,0.3993,1,11.655,0.0%
Osimertinib,Tibia fracture,No,0.4918,1,34.965,0.0%
Osimertinib,Agitation,No,0.4449,1,1.942,0.0%
Osimertinib,Haematotoxicity,No,0.3727,1,0.685,0.0%
Osimertinib,Disseminated intravascular coagulation,No,0.4114,2,1.998,50.0%
Osimertinib,Embolism,No,0.4188,1,0.971,100.0%
Osimertinib,Product blister packaging issue,No,0.3992,1,0.000,0.0%
Osimertinib,Respiratory distress,No,0.3660,1,0.998,0.0%
Osimertinib,Poor quality drug administered,No,0.4918,1,34.965,0.0%
Osimertinib,Tongue disorder,Yes,0.5017,1,11.655,0.0%
Osimertinib,Oral mucosal eruption,Yes,0.5812,1,34.965,0.0%
Osimertinib,Melaena,No,0.3638,1,1.294,0.0%
Osimertinib,Feeding disorder,No,0.3640,1,2.330,0.0%
Osimertinib,Duodenal ulcer,No,0.3616,1,2.689,0.0%
Osimertinib,Duodenal stenosis,No,0.3639,1,3.884,0.0%
Osimertinib,Iron deficiency anaemia,No,0.3743,1,5.827,0.0%
Osimertinib,Paronychia,No,0.4084,2,6.360,0.0%
Osimertinib,Ovarian cancer,No,0.3659,1,2.689,0.0%
Osimertinib,Pulseless electrical activity,No,0.4535,1,8.741,100.0%
Osimertinib,Microangiopathic haemolytic anaemia,Yes,0.5596,1,34.965,100.0%
Osimertinib,Adrenal insufficiency,No,0.3705,1,0.592,0.0%
Osimertinib,Gallbladder disorder,No,0.4282,1,3.178,100.0%
Osimertinib,Renal disorder,No,0.4348,1,0.672,100.0%
Osimertinib,Radiation injury,No,0.3905,1,8.741,0.0%
Osimertinib,Encephalopathy,No,0.3634,1,1.344,0.0%
Osimertinib,Cardiac disorder,No,0.4487,1,0.699,0.0%
Osimertinib,Fulminant type 1 diabetes mellitus,No,0.4289,1,17.482,0.0%
Osimertinib,Activities of daily living impaired,No,0.3640,1,2.330,0.0%
Osimertinib,Psychomotor retardation,No,0.3992,1,0.000,0.0%
Osimertinib,Leukoencephalopathy,No,0.3653,1,4.370,0.0%
Osimertinib,Pulmonary sepsis,No,0.3781,1,6.992,0.0%
Osimertinib,Mobility decreased,No,0.3634,1,1.344,0.0%
Osimertinib,Vocal cord disorder,Yes,0.5052,1,0.000,0.0%
Osimertinib,Thrombotic cerebral infarction,No,0.4082,1,0.000,0.0%
Osimertinib,Nasal discharge discolouration,No,0.4082,1,0.000,0.0%
Osimertinib,Osteoporosis,No,0.3686,1,2.056,0.0%
Osimertinib,Influenza like illness,No,0.3748,1,0.728,0.0%
Osimertinib,Nasal dryness,No,0.3678,1,3.884,0.0%
Osimertinib,Cancer pain,No,0.4342,1,5.827,100.0%
Osimertinib,Ocular discomfort,Yes,0.4987,1,17.482,100.0%
Osimertinib,Dysphonia,No,0.4191,1,0.944,100.0%
Osimertinib,Chest discomfort,No,0.4220,1,0.426,100.0%
Osimertinib,Pneumobilia,No,0.3992,1,0.000,0.0%
Osimertinib,Pneumatosis intestinalis,No,0.3743,1,5.827,0.0%
Osimertinib,Hypertensive heart disease,No,0.4289,1,17.482,0.0%
Osimertinib,Neck pain,No,0.3632,1,1.456,0.0%
Osimertinib,Urine analysis abnormal,No,0.3905,1,8.741,0.0%
Osimertinib,Musculoskeletal stiffness,No,0.3632,1,1.456,0.0%
Osimertinib,Hypersensitivity,No,0.3688,1,0.240,0.0%
Osimertinib,Urinary tract inflammation,No,0.3992,1,0.000,0.0%
Osimertinib,Facial pain,No,0.3615,1,2.913,0.0%
Osimertinib,Malignant pleural effusion,No,0.4289,1,2.056,100.0%
Osimertinib,Blood potassium increased,No,0.4289,1,2.056,100.0%
Osimertinib,Metastases to skin,No,0.4289,1,2.056,100.0%
Osimertinib,Aphthous ulcer,No,0.3905,1,8.741,0.0%
Crizotinib,Dizziness,Yes,0.6238,18,2.363,11.1%
Crizotinib,Renal abscess,Yes,0.5114,2,0.000,0.0%
Crizotinib,Enterocolitis,No,0.3637,1,1.508,0.0%
Crizotinib,Death,Yes,0.7374,78,2.514,100.0%
Crizotinib,Hypotension,No,0.4928,2,0.412,50.0%
Crizotinib,Pyrexia,Yes,0.5107,9,0.485,22.2%
Crizotinib,Pulmonary oedema,No,0.4191,2,1.786,50.0%
Crizotinib,Upper respiratory tract infection,No,0.4467,1,1.121,0.0%
Crizotinib,Dysphagia,Yes,0.5886,12,3.887,8.3%
Crizotinib,Intentional drug misuse,Yes,0.5164,1,0.000,0.0%
Crizotinib,Pneumonitis,No,0.4563,6,1.327,16.7%
Crizotinib,Jugular vein thrombosis,No,0.3909,1,8.753,0.0%
Crizotinib,Disease progression,Yes,0.7749,105,6.658,45.7%
Crizotinib,Lung neoplasm malignant,Yes,0.7988,49,55.731,42.9%
Crizotinib,Local swelling,Yes,0.5389,4,5.847,0.0%
Crizotinib,Secretion discharge,No,0.4822,1,8.753,0.0%
Crizotinib,Oesophageal ulcer,No,0.4959,2,12.514,0.0%
Crizotinib,Bronchopulmonary aspergillosis,No,0.4465,2,7.299,50.0%
Crizotinib,Hypoxia,Yes,0.5237,9,4.713,33.3%
Crizotinib,Renal failure acute,No,0.4521,3,1.002,66.7%
Crizotinib,Endotracheal intubation,Yes,0.5856,1,43.768,100.0%
Crizotinib,Disseminated intravascular coagulation,No,0.4182,1,1.215,100.0%
Crizotinib,Platelet transfusion,No,0.4317,1,4.862,100.0%
Crizotinib,Platelet count decreased,No,0.4634,3,0.307,33.3%
Crizotinib,Oedema peripheral,Yes,0.6215,15,4.870,6.7%
Crizotinib,Fall,No,0.4624,2,0.493,100.0%
Crizotinib,Fracture,No,0.4218,1,3.978,100.0%
Crizotinib,Intestinal obstruction,No,0.3675,1,0.741,0.0%
Crizotinib,Vomiting,Yes,0.6695,32,1.706,3.1%
Crizotinib,Nausea,Yes,0.7122,51,1.680,3.9%
Crizotinib,Bradycardia,No,0.4491,1,2.574,0.0%
Crizotinib,Off label use,Yes,0.6173,20,2.141,20.0%
Crizotinib,Peripheral swelling,Yes,0.6494,15,5.864,0.0%
Crizotinib,Diarrhoea,Yes,0.6926,37,1.244,0.0%
Crizotinib,Throat irritation,Yes,0.5373,3,7.734,0.0%
Crizotinib,Oropharyngeal pain,No,0.4964,3,1.904,0.0%
Crizotinib,Eczema,No,0.4757,1,6.252,0.0%
Crizotinib,Confusional state,No,0.4681,6,1.777,33.3%
Crizotinib,Agitation,No,0.3641,1,2.431,0.0%
Crizotinib,Dyspnoea,Yes,0.5706,14,0.976,7.1%
Crizotinib,Fluid retention,Yes,0.5017,5,5.485,0.0%
Crizotinib,Optic neuropathy,Yes,0.6336,2,87.607,0.0%
Crizotinib,Visual impairment,Yes,0.6129,11,5.507,9.1%
Crizotinib,Epistaxis,No,0.4834,2,0.741,0.0%
Crizotinib,Constipation,Yes,0.5867,15,1.607,6.7%
Crizotinib,Fatigue,Yes,0.6322,23,0.767,4.3%
Crizotinib,Asthenia,No,0.4867,10,0.845,30.0%
Crizotinib,Decreased appetite,Yes,0.5915,19,1.541,15.8%
Crizotinib,Pain,Yes,0.4991,4,0.584,50.0%
Crizotinib,Skin warm,Yes,0.6103,1,43.768,0.0%
Crizotinib,Chills,No,0.4551,1,0.301,0.0%
Crizotinib,Back pain,No,0.4918,2,0.359,0.0%
Crizotinib,Abdominal tenderness,No,0.4757,1,6.252,0.0%
Crizotinib,Dysgeusia,Yes,0.6041,14,3.610,7.1%
Crizotinib,Non-small cell lung cancer metastatic,Yes,0.6130,5,27.440,40.0%
Crizotinib,Vision blurred,Yes,0.6109,11,5.325,0.0%
Crizotinib,Toxic skin eruption,No,0.3622,1,2.083,0.0%
Crizotinib,Hepatic function abnormal,No,0.4245,4,2.827,25.0%
Crizotinib,Thrombosis,No,0.4764,6,2.925,50.0%
Crizotinib,Cerebrovascular accident,No,0.4104,3,1.353,33.3%
Crizotinib,Pulmonary embolism,No,0.4731,9,2.026,44.4%
Crizotinib,Vitreous floaters,Yes,0.7343,8,88.028,0.0%
Crizotinib,Hepatic enzyme increased,Yes,0.5004,7,4.212,0.0%
Crizotinib,White blood cell count decreased,No,0.4734,4,0.510,0.0%
Crizotinib,Cough,Yes,0.5333,6,1.089,0.0%
Crizotinib,Pneumonia,Yes,0.5088,12,0.992,41.7%
Crizotinib,Sepsis,No,0.4471,4,0.619,25.0%
Crizotinib,Gastrointestinal toxicity,No,0.3677,1,3.366,0.0%
Crizotinib,Dehydration,Yes,0.5246,11,1.192,0.0%
Crizotinib,Non-small cell lung cancer,Yes,0.7425,18,36.293,77.8%
Crizotinib,Dyspepsia,Yes,0.5253,9,3.957,0.0%
Crizotinib,Abdominal discomfort,Yes,0.5070,7,2.327,0.0%
Crizotinib,Colon cancer,No,0.4690,1,5.470,0.0%
Crizotinib,Blindness,No,0.3682,1,1.562,0.0%
Crizotinib,Muscle tightness,No,0.4757,1,6.252,0.0%
Crizotinib,Joint swelling,Yes,0.5958,9,7.922,0.0%
Crizotinib,Hypophagia,No,0.4492,2,1.535,0.0%
Crizotinib,Lymphadenopathy,No,0.4223,1,0.583,100.0%
Crizotinib,Biliary tract disorder,No,0.4653,1,10.941,100.0%
Crizotinib,Pleural effusion,No,0.4388,6,1.210,33.3%
Crizotinib,Malaise,Yes,0.5478,9,1.036,0.0%
Crizotinib,Deafness,No,0.4290,1,1.411,100.0%
Crizotinib,Lung adenocarcinoma,Yes,0.5879,6,16.475,33.3%
Crizotinib,Anosmia,No,0.4905,1,14.589,100.0%
Crizotinib,Diplopia,Yes,0.5357,5,12.193,20.0%
Crizotinib,Headache,No,0.4604,4,0.505,50.0%
Crizotinib,Hypoaesthesia,Yes,0.5299,7,3.043,14.3%
Crizotinib,Abdominal distension,No,0.4712,5,2.610,20.0%
Crizotinib,Wheezing,Yes,0.4985,2,4.866,0.0%
Crizotinib,Pyopneumothorax,Yes,0.5856,1,43.768,100.0%
Crizotinib,Haemolytic anaemia,No,0.3684,1,1.458,0.0%
Crizotinib,Neuropathy peripheral,No,0.4717,3,0.582,0.0%
Crizotinib,Metastases to liver,No,0.3736,1,0.527,0.0%
Crizotinib,Central nervous system lesion,No,0.4055,2,6.256,0.0%
Crizotinib,Chromaturia,No,0.4563,2,5.474,0.0%
Crizotinib,Faeces pale,No,0.4437,1,21.884,0.0%
Crizotinib,Liver function test abnormal,Yes,0.5392,7,8.315,14.3%
Crizotinib,Oesophagitis,Yes,0.5574,5,12.911,0.0%
Crizotinib,Blood pressure decreased,No,0.3715,1,1.067,0.0%
Crizotinib,Syncope,No,0.4018,4,1.825,0.0%
Crizotinib,Urinary retention,No,0.3687,1,2.303,0.0%
Crizotinib,Blood glucose increased,No,0.3845,2,1.862,0.0%
Crizotinib,Anaemia,No,0.4107,2,0.142,0.0%
Crizotinib,Paraesthesia,No,0.4874,5,2.923,0.0%
Crizotinib,Prostatitis,Yes,0.5242,1,43.768,0.0%
Crizotinib,Blood sodium decreased,No,0.3686,1,2.083,0.0%
Crizotinib,Neoplasm malignant,Yes,0.7002,15,15.430,13.3%
Crizotinib,Chylothorax,No,0.4195,1,0.000,0.0%
Crizotinib,Embolism,No,0.3638,1,1.215,0.0%
Crizotinib,Hypersensitivity,No,0.4872,4,1.233,0.0%
Crizotinib,Infection,No,0.4617,1,0.200,0.0%
Crizotinib,Myalgia,No,0.4719,3,1.017,0.0%
Crizotinib,Neurosis,No,0.4934,1,0.000,100.0%
Crizotinib,Lung adenocarcinoma metastatic,Yes,0.6191,2,43.803,100.0%
Crizotinib,Brain oedema,No,0.3641,1,2.431,0.0%
Crizotinib,Acute kidney injury,No,0.3890,2,0.747,0.0%
Crizotinib,Respiratory distress,No,0.4179,1,1.250,100.0%
Crizotinib,Haemoptysis,No,0.4553,2,2.135,100.0%
Crizotinib,Electrocardiogram QT prolonged,No,0.4510,1,0.911,0.0%
Crizotinib,Leukopenia,No,0.4046,3,1.204,0.0%
Crizotinib,Neutropenia,No,0.4283,5,0.366,0.0%
Crizotinib,Abnormal faeces,Yes,0.5874,2,21.900,0.0%
Crizotinib,Rash,Yes,0.6143,15,0.964,6.7%
Crizotinib,Swelling,Yes,0.5233,5,5.102,0.0%
Crizotinib,Lip swelling,Yes,0.5062,2,5.474,0.0%
Crizotinib,Non-cardiac chest pain,No,0.4451,1,3.126,0.0%
